id,name,title,abstract,img,github,twitter,slides_url,talk_url
agupta,Abhishek Gupta,The Lab Notebook: Bringing Science Back to Data Science,"All of us deal with data. A lot of us do data science. And yet only some of us get a chance to really infuse science into that data science work. Ever visit one of your old experiments and find that you want to pull out your hair because you are not sure how you arrived at some of the models that you ended up selecting, why you transformed your data the way you did, and other choices that now seem arbitrary but were perhaps perfectly reasonable then? While we invent a time machine that allows us to go back and inspect our previous (more brilliant?) selves, i have a simpler proposal: the humble lab notebook. Remember those ruled notebooks we carried around in physical labs at school diligently writing things down as we figured out how to build the best soda volcanoes? Turns out they can help us solve this problem of tracking our decisions as we arrive at different configurations that we run in our data science work so that we don’t need to curse at our past selves for making poor choices. Not only do they act as great supplements for existing AI lifecycle management tools, but they also help us share our learnings better with our colleagues (and future selves!). Come join me on this journey and let’s explore how the lab notebook can bring back science into data science. We’ll look at why you should have a lab notebook for all your data science work, how you should go about maintaining that lab notebook, and what you should and what you should NOT include in that lab notebook.",agupta,atg-abhishek,atg_abhishek,,
wlyon,William Lyon,Will You Be My Graph Data-bae? A Graph Data Love Story,"This talk tells the story of two technologies that were always meant to be together but came from different worlds, yet finally were able to come together and help the world make sense of data through APIs: GraphQL and graph databases. We'll discuss graph databases like Neo4j - what they are, why and how to use them, as well as the tradeoffs of building applications with graph databases. We'll review GraphQL and how to build GraphQL APIs. Then we'll see how GraphQL and Neo4j are even more powerful when used together, each leveraging features of the other (the property graph data model, a strict type system, index-free adjacency, extensibility through schema directives, and the Cypher query language) - resulting in a truly symbiotic and mutually beneficial relationship.",wlyon,johnymontana,lyonwj,,
jjanssens,Jeroen Janssens,Set your code free; turn it into a command-line tool,"If your data analyses involve coding, then you know how liberating it is to use and create functions. They hide complexity, improve testability, and enable reusability. In this talk I explain how you can really set your code free: by turning it into a command-line tool. The command line can be a very flexible and efficient environment for working with data. It's specialized in combining tools that are written in all sorts of languages (including Python and R), running them in parallel, and applying them to massive amounts of (streaming) data. Although the command line itself has quite a learning curve, turning your existing code into a tool is, as I demonstrate, a matter of a few steps. I discuss how your new tool can be combined with existing tools in order to obtain, scrub, explore, and model data at the command line. Finally, I share some best practices regarding interface design and distribution.",jjanssens,jeroenjanssens,jeroenhjanssens,,
bvezina,Brigitte Vezina,Should open content be used to train artificial intelligence?,"Developments in artificial intelligence (AI) raise several questions when it comes to the use of copyright material and Creative Commons-licensed content in particular. One of them is whether CC-licensed content (photographs, artworks, text, music, etc.) should be used as input to train AI. This question illustrates the tension between the value of open data vs. legitimate concerns about ethical, moral and responsible use of openly licensed content, which this session will explore.",bvezina,,Brigitte_Vezina,,
jborghi,John Borghi,"Identifying the who, what, and (sometimes) where of research data sharing at an academic institution","In many areas of academic research, there is a growing emphasis on sharing data and other materials. However, tracking which researchers affiliated with a given institution are sharing, what they are sharing, and what tools they are using to share remains extremely challenging. To help inform the support services offered to affiliated researchers, I attempted to track the research data shared by Stanford Medicine in 2020. In this talk, I will describe the methods I used, the (incomplete but hopefully representative) information I was able to collect, and how this information will be used moving forward. Spoiler alert, I sorted through thousands of journal articles and data availability statements and discovered data in some unexpected places.",jborghi,,JohnBorghi,,
vwarmerdam,Vincent Warmerdam,Human-Learn: Let's Draw Machine Learning Models and Train Humans Instead,"Back in the old days, it was common to write rule-based systems. <br><br>Systems that do; data -> rules -> labels. <br><br> Nowadays, it's much more fashionable to use machine learning instead. <br><br>Something like; (data, labels) -> ML -> rules. <br><br>I started wondering if we might have lost something in this transition. So I made an open source package in an attempt to keep the hype at bay. Maybe natural intelligence is just enough and maybe enough is plenty. In this talk I'll present a toolbox called ""human-learn"" that allows you to, literally, draw out a machine learning model. I'll demonstrate the benefits of the approach. Not only do we allows the machine to learn from a domain expert, we also force the algorithm designer to actually look at the data.",vwarmerdam,koaning,fishnets88,,
kshaw,Katie Shaw,From opaque to open: untangling apparel supply chains with open data,"Historically, the apparel sector has been shrouded in secrecy and mystique, using this to generate an impression of exclusivity and glamour. As the tragic Rana Plaza building collapse in Dhaka, Bangladesh in 2013 showed (in which well over 1,000 workers died manufacturing clothing for many major western brands) the reality is anything but. The aftermath of the Rana Plaza disaster shone a light on how few brands were aware of where their products were being manufactured, let alone the conditions in which they were being made. In response to this, a growing trend has developed for supply chain disclosure in the apparel sector, spurred on by groups such as the Transparency Pledge coalition and Fashion Revolution. However, in response to these calls for greater transparency, supply chain disclosure has been inconsistent, difficult to track from one website to another and data is often locked away in non-machine readable formats such as PDFs or tables embedded in websites. A lack of standard formatting for information as basic as name and address data (coupled with the poor quality of this data) makes it difficult and costly for anyone to compare across datasets and understand shared connections to facilities. Data has been stuck in silos and lacked a universal, central ID through which systems could synchronize, making interoperability between systems impossible. Enter the Open Apparel Registry (OAR). The OAR was launched in March 2019 to address this data challenge. At its heart, the OAR exists to drive improvements in data quality for the benefit of all stakeholders in the apparel sector. As well as many other efficiency and process benefits, the way the OAR organizes and presents data ultimately improves the lives of some of the most vulnerable workers in global supply chains. During our talk, we’ll share details about the challenges facing the apparel sector, including low levels of technical sophistication and understanding of open data; collaborative work that’s being done to educate the sector on the power of open data, including the launch of the Open Data Standard for the Apparel Sector (ODSAS); before finishing up with inspiring examples of how data from the Open Apparel Registry being freely shared and used is creating meaningful changes in the lives of some of global society’s most oppressed people.",kshaw,open-apparel-registry,openapparelreg,,
psoriano,Pavel Soriano,csv-detective: solving some of the misteries of open data,"Over the last few years, the emphasis on data quality has evolved from being a nice to have to an absolute necessity. As already stated in past editions of this venue, the quality of open data is essential to *truly fulfill its promise as a channel of empowerment*. In practical terms, data quality for tabular data entails, among other tasks, checking the structural integrity and schematic consistency of its contents. In order to satisfy these requirements, we need to look into the files content and first determine whether our files are indeed CSV files, and secondly, and more importantly, we want to discover the type of data we have in order to properly validate it and thus evaluate and then hopefully improve the quality of our datasets. In this talk, we present our work on the automatic detection of data types within the columns of CSV files. Going beyond classic computer science data types (float, integer, date), we are also interested in detecting more specific in-domain data categories. Specifically, given a CSV file, we look into its columns and determine whether it contains postal codes, enterprise identifiers, geographic coordinates, days of the week, and so on. We will show how applied to data from the French open data platform that we maintain (data.gouv.fr.), these specific types allow users to better control data in order to join or link datasets between them. We see our work as a first step and important stepping stone towards data integrity and validation checks while also facilitating the discoverability and contextualization of open datasets. Our approaches are evaluated by annotating and testing over thousands of columns extracted from more than 15 000 CSV files found in data.gouv.fr.",psoriano,etalab,Etalab,,
dwinston,Donny Winston,CSV-LD: Spreadsheet-based Linked Data,"Comma-separated-values (CSV) is a useful data serialization and sharing format. This talk introduces the idea of CSV-LD as a CSV-based format to serialize Linked Data, mirroring the way that JSON-LD is a JSON-based format to serialize Linked Data. ""CSV"" here includes any dialect that uses a different delimiter, such as tab-separated-values (TSV). The syntax of CSV-LD is designed to easily integrate into workflows that already use CSV, and provides a smooth upgrade path from CSV to CSV-LD. It is primarily intended to be a way to use Linked Data as part of spreadsheet-based data entry; to facilitate data validation, display, and conversion of CSV into other formats via use of CSV on the Web (CSVW) metadata; and to build FAIR data services. The term ""CSV-LD"" was previously used to describe a now-obsoleted precursor to the CSVW specifications; both approaches require a second file, a JSON-LD template document, to be shared along with a CSV file. The approach described here, in contrast, requires only a CSV file from the data producer, one that includes links to CSVW-powered metadata.",dwinston,dwinston,,,
dbeaton,Derek Beaton,"The Ontario Neurodegenerative Disease Research Initiative's Neuroinformatics & Biostatistics teams pipelines, partnerships, and products.","The Ontario Neurodegenerative Disease Research Initiative (ONDRI) is a large-scale longitudinal project across five disorders spanning 520 participants, each with 3 or more annual assessments, and from 14 sites across the province. ONDRI’s data span lab measures, genetics, ocular imaging, eye-tracking tasks, many cognitive assessments, various brain imaging modalities, and an extensive array of clinical assessments. These data come in many types, shapes, and sizes. Different domain and data experts have different expectations of data standards, how data are curated, and how data are analyzed. However, ONDRI is more than data: it is also 100s of researchers and clinicians coming together to better understand neurodegenerative and cerebrovascular disorders. So, ONDRI’s Neuroinformatics & Biostatistics (NIBS) team built both an infrastructure (data) and a culture (people) around the standardization and integrity of such diverse data. We did this with (1) pipelines: supporting curation from preparation through to analyses and reporting, (2) partnerships: working closely with others on training & collaboration, and (3) products: the tools we build and use; many of whichare publicly available: https://github.com/ondri-nibs. ONDRI’s data standards and outlier analyses are central to the pipelines. Our standards revolve around “data packages” that include data and dictionaries with specific nomenclature and features (e.g., predefined and unambiguous missing data codes). We built the standards around tabular (.csv format) data, then extended standards to “non-tabular” or file-based data, such as neuroimaging. We also perform a battery of (mostly) multivariate outlier analyses. We share standardized reports (written in RMarkdown) for standards and outliers with research and clinical experts to review. These steps identify anomalies and allow us to correct errors. We were able to build a data-focused culture based on shared clinical & research goals, recognizing the difficulty with & importance of data curation, and with an eye toward public release of the data.",dbeaton,derekbeaton,derek__beaton,,
